code,description,detailed_description,last_updated
A773,Spotted fever due to Rickettsia australis,Spotted fever due to Rickettsia australis,09/11/2025
A778,Other spotted fevers,Other spotted fevers,09/11/2025
A779,"Spotted fever, unspecified","Spotted fever, unspecified",09/11/2025
A78,Q fever,N/A,09/11/2025
A79,Other rickettsioses,N/A,09/11/2025
A790,Trench fever,Trench fever,09/11/2025
A791,Rickettsialpox due to Rickettsia akari,Rickettsialpox due to Rickettsia akari,09/11/2025
A798,Other specified rickettsioses,Other specified rickettsioses,09/11/2025
A799,"Rickettsiosis, unspecified","Rickettsiosis, unspecified",09/11/2025
A80,Acute poliomyelitis,N/A,09/11/2025
A800,"Acute paralytic poliomyelitis, vaccine-associated","Acute paralytic poliomyelitis, vaccine-associated",09/11/2025
A801,"Acute paralytic poliomyelitis, wild virus, imported","Acute paralytic poliomyelitis, wild virus, imported",09/11/2025
A802,"Acute paralytic poliomyelitis, wild virus, indigenous","Acute paralytic poliomyelitis, wild virus, indigenous",09/11/2025
A803,"Acute paralytic poliomyelitis, other and unspecified","Acute paralytic poliomyelitis, other and unspecified",09/11/2025
A804,Acute nonparalytic poliomyelitis,Acute nonparalytic poliomyelitis,09/11/2025
A809,"Acute poliomyelitis, unspecified","Acute poliomyelitis, unspecified",09/11/2025
A81,Atypical virus infections of central nervous system,N/A,09/11/2025
A810,Creutzfeldt-Jakob disease,Creutzfeldt-Jakob disease,09/11/2025
A811,Subacute sclerosing panencephalitis,Subacute sclerosing panencephalitis,09/11/2025
A812,Progressive multifocal leukoencephalopathy,Progressive multifocal leukoencephalopathy,09/11/2025
A818,Other atypical virus infections of central nervous system,Other atypical virus infections of central nervous system,09/11/2025
A819,"Atypical virus infection of central nervous system, unspecified","Atypical virus infection of central nervous system, unspecified",09/11/2025
A82,Rabies,N/A,09/11/2025
A820,Sylvatic rabies,Sylvatic rabies,09/11/2025
A821,Urban rabies,Urban rabies,09/11/2025
A829,"Rabies, unspecified","Rabies, unspecified",09/11/2025
A83,Mosquito-borne viral encephalitis,N/A,09/11/2025
A830,Japanese encephalitis,Japanese encephalitis,09/11/2025
A831,Western equine encephalitis,Western equine encephalitis,09/11/2025
A832,Eastern equine encephalitis,Eastern equine encephalitis,09/11/2025
A833,St Louis encephalitis,St Louis encephalitis,09/11/2025
A834,Australian encephalitis,Australian encephalitis,09/11/2025
A835,California encephalitis,California encephalitis,09/11/2025
A836,Rocio virus disease,Rocio virus disease,09/11/2025
A838,Other mosquito-borne viral encephalitis,Other mosquito-borne viral encephalitis,09/11/2025
A839,"Mosquito-borne viral encephalitis, unspecified","Mosquito-borne viral encephalitis, unspecified",09/11/2025
A84,Tick-borne viral encephalitis,N/A,09/11/2025
A840,Far Eastern tick-borne encephalitis [Russian spring-summer encephalitis],Far Eastern tick-borne encephalitis [Russian spring-summer encephalitis],09/11/2025
A841,Central European tick-borne encephalitis,Central European tick-borne encephalitis,09/11/2025
A848,Other tick-borne viral encephalitis,Other tick-borne viral encephalitis,09/11/2025
A849,"Tick-borne viral encephalitis, unspecified","Tick-borne viral encephalitis, unspecified",09/11/2025
A85,"Other viral encephalitis, not elsewhere classified",N/A,09/11/2025
A850,Enteroviral encephalitis,Enteroviral encephalitis,09/11/2025
A851,Adenoviral encephalitis,Adenoviral encephalitis,09/11/2025
A852,"Arthropod-borne viral encephalitis, unspecified","Arthropod-borne viral encephalitis, unspecified",09/11/2025
A858,Other specified viral encephalitis,Other specified viral encephalitis,09/11/2025
A86,Unspecified viral encephalitis,N/A,09/11/2025
A87,Viral meningitis,N/A,09/11/2025
A870,Enteroviral meningitis,Enteroviral meningitis,09/11/2025
A871,Adenoviral meningitis,Adenoviral meningitis,09/11/2025
A872,Lymphocytic choriomeningitis,Lymphocytic choriomeningitis,09/11/2025
A878,Other viral meningitis,Other viral meningitis,09/11/2025
A879,"Viral meningitis, unspecified","Viral meningitis, unspecified",09/11/2025
A88,"Other viral infections of central nervous system, not elsewhere classified",N/A,09/11/2025
A880,Enteroviral exanthematous fever [Boston exanthem],Enteroviral exanthematous fever [Boston exanthem],09/11/2025
A881,Epidemic vertigo,Epidemic vertigo,09/11/2025
A888,Other specified viral infections of central nervous system,Other specified viral infections of central nervous system,09/11/2025
A89,Unspecified viral infection of central nervous system,N/A,09/11/2025
A92,Other mosquito-borne viral fevers,N/A,09/11/2025
A920,Chikungunya virus disease,Chikungunya virus disease,09/11/2025
A921,O'nyong-nyong fever,O'nyong-nyong fever,09/11/2025
A922,Venezuelan equine fever,Venezuelan equine fever,09/11/2025
A923,West Nile virus infection,West Nile virus infection,09/11/2025
A924,Rift Valley fever,Rift Valley fever,09/11/2025
A925,Zika virus disease,Zika virus disease,09/11/2025
A928,Other specified mosquito-borne viral fevers,Other specified mosquito-borne viral fevers,09/11/2025
A929,"Mosquito-borne viral fever, unspecified","Mosquito-borne viral fever, unspecified",09/11/2025
A93,"Other arthropod-borne viral fevers, not elsewhere classified",N/A,09/11/2025
A930,Oropouche virus disease,Oropouche virus disease,09/11/2025
A931,Sandfly fever,Sandfly fever,09/11/2025
A932,Colorado tick fever,Colorado tick fever,09/11/2025
A938,Other specified arthropod-borne viral fevers,Other specified arthropod-borne viral fevers,09/11/2025
A94,Unspecified arthropod-borne viral fever,N/A,09/11/2025
A95,Yellow fever,N/A,09/11/2025
A950,Sylvatic yellow fever,Sylvatic yellow fever,09/11/2025
A951,Urban yellow fever,Urban yellow fever,09/11/2025
A959,"Yellow fever, unspecified","Yellow fever, unspecified",09/11/2025
A96,Arenaviral haemorrhagic fever,N/A,09/11/2025
A960,Junin haemorrhagic fever,Junin haemorrhagic fever,09/11/2025
A961,Machupo haemorrhagic fever,Machupo haemorrhagic fever,09/11/2025
A962,Lassa fever,Lassa fever,09/11/2025
A968,Other arenaviral haemorrhagic fevers,Other arenaviral haemorrhagic fevers,09/11/2025
A969,"Arenaviral haemorrhagic fever, unspecified","Arenaviral haemorrhagic fever, unspecified",09/11/2025
A97,Dengue,N/A,09/11/2025
A970,Dengue without warning signs,Dengue without warning signs,09/11/2025
A971,Dengue with warning signs,Dengue with warning signs,09/11/2025
A972,Severe Dengue,Severe Dengue,09/11/2025
A979,"Dengue, unspecified","Dengue, unspecified",09/11/2025
A98,"Other viral haemorrhagic fevers, not elsewhere classified",N/A,09/11/2025
A980,Crimean-Congo haemorrhagic fever,Crimean-Congo haemorrhagic fever,09/11/2025
A981,Omsk haemorrhagic fever,Omsk haemorrhagic fever,09/11/2025
A982,Kyasanur Forest disease,Kyasanur Forest disease,09/11/2025
A983,Marburg virus disease,Marburg virus disease,09/11/2025
A984,Ebola virus disease,Ebola virus disease,09/11/2025
A985,Haemorrhagic fever with renal syndrome,Haemorrhagic fever with renal syndrome,09/11/2025
A988,Other specified viral haemorrhagic fevers,Other specified viral haemorrhagic fevers,09/11/2025
A99,Unspecified viral haemorrhagic fever,N/A,09/11/2025
B00,Herpesviral [herpes simplex] infections,N/A,09/11/2025
B000,Eczema herpeticum,Eczema herpeticum,09/11/2025
B001,Herpesviral vesicular dermatitis,Herpesviral vesicular dermatitis,09/11/2025
B002,Herpesviral gingivostomatitis and pharyngotonsillitis,Herpesviral gingivostomatitis and pharyngotonsillitis,09/11/2025
B003,Herpesviral meningitis,Herpesviral meningitis,09/11/2025
B004,Herpesviral encephalitis,Herpesviral encephalitis,09/11/2025
B005,Herpesviral ocular disease,Herpesviral ocular disease,09/11/2025
B007,Disseminated herpesviral disease,Disseminated herpesviral disease,09/11/2025
B008,Other forms of herpesviral infection,Other forms of herpesviral infection,09/11/2025
B009,"Herpesviral infection, unspecified","Herpesviral infection, unspecified",09/11/2025
B01,Varicella [chickenpox],N/A,09/11/2025
B010,Varicella meningitis,Varicella meningitis,09/11/2025
B011,Varicella encephalitis,Varicella encephalitis,09/11/2025
B012,Varicella pneumonia,Varicella pneumonia,09/11/2025
B018,Varicella with other complications,Varicella with other complications,09/11/2025
B019,Varicella without complication,Varicella without complication,09/11/2025
B02,Zoster [herpes zoster],N/A,09/11/2025
B020,Zoster encephalitis,Zoster encephalitis,09/11/2025
B021,Zoster meningitis,Zoster meningitis,09/11/2025
B022,Zoster with other nervous system involvement,Zoster with other nervous system involvement,09/11/2025
B023,Zoster ocular disease,Zoster ocular disease,09/11/2025
B027,Disseminated zoster,Disseminated zoster,09/11/2025
B028,Zoster with other complications,Zoster with other complications,09/11/2025
B029,Zoster without complication,Zoster without complication,09/11/2025
B03,Smallpox,N/A,09/11/2025
B04,Monkeypox,N/A,09/11/2025
B05,Measles,N/A,09/11/2025
B050,Measles complicated by encephalitis,Measles complicated by encephalitis,09/11/2025
B051,Measles complicated by meningitis,Measles complicated by meningitis,09/11/2025
B052,Measles complicated by pneumonia,Measles complicated by pneumonia,09/11/2025
B053,Measles complicated by otitis media,Measles complicated by otitis media,09/11/2025
B054,Measles with intestinal complications,Measles with intestinal complications,09/11/2025
B058,Measles with other complications,Measles with other complications,09/11/2025
B059,Measles without complication,Measles without complication,09/11/2025
B06,Rubella [German measles],N/A,09/11/2025
B060,Rubella with neurological complications,Rubella with neurological complications,09/11/2025
B068,Rubella with other complications,Rubella with other complications,09/11/2025
B069,Rubella without complication,Rubella without complication,09/11/2025
B07,Viral warts,N/A,09/11/2025
B08,"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified",N/A,09/11/2025
B080,Other orthopoxvirus infections,Other orthopoxvirus infections,09/11/2025
B081,Molluscum contagiosum,Molluscum contagiosum,09/11/2025
B082,Exanthema subitum [sixth disease],Exanthema subitum [sixth disease],09/11/2025
B083,Erythema infectiosum [fifth disease],Erythema infectiosum [fifth disease],09/11/2025
B084,Enteroviral vesicular stomatitis with exanthem,Enteroviral vesicular stomatitis with exanthem,09/11/2025
B085,Enteroviral vesicular pharyngitis,Enteroviral vesicular pharyngitis,09/11/2025
B088,Other specified viral infections characterized by skin and mucous membrane lesions,Other specified viral infections characterized by skin and mucous membrane lesions,09/11/2025
B09,Unspecified viral infection characterized by skin and mucous membrane lesions,N/A,09/11/2025
B15,Acute hepatitis A,N/A,09/11/2025
B150,Hepatitis A with hepatic coma,Hepatitis A with hepatic coma,09/11/2025
B159,Hepatitis A without hepatic coma,Hepatitis A without hepatic coma,09/11/2025
B16,Acute hepatitis B,N/A,09/11/2025
B160,Acute hepatitis B with delta-agent (coinfection) with hepatic coma,Acute hepatitis B with delta-agent (coinfection) with hepatic coma,09/11/2025
B161,Acute hepatitis B with delta-agent (coinfection) without hepatic coma,Acute hepatitis B with delta-agent (coinfection) without hepatic coma,09/11/2025
B162,Acute hepatitis B without delta-agent with hepatic coma,Acute hepatitis B without delta-agent with hepatic coma,09/11/2025
B169,Acute hepatitis B without delta-agent and without hepatic coma,Acute hepatitis B without delta-agent and without hepatic coma,09/11/2025
B17,Other acute viral hepatitis,N/A,09/11/2025
B170,Acute delta-(super)infection in chronic hepatitis B,Acute delta-(super)infection in chronic hepatitis B,09/11/2025
B171,Acute hepatitis C,Acute hepatitis C,09/11/2025
B172,Acute hepatitis E,Acute hepatitis E,09/11/2025
B178,Other specified acute viral hepatitis,Other specified acute viral hepatitis,09/11/2025
B179,"Acute viral hepatitis, unspecified","Acute viral hepatitis, unspecified",09/11/2025
B18,Chronic viral hepatitis,N/A,09/11/2025
B180,Chronic viral hepatitis B with delta-agent,Chronic viral hepatitis B with delta-agent,09/11/2025
B1800,Chronic viral hepatitis B with delta-agent: immune-tolerant phase,Chronic viral hepatitis B with delta-agent,09/11/2025
B1809,Chronic viral hepatitis B with delta-agent: other and unspecified phase,Chronic viral hepatitis B with delta-agent,09/11/2025
B181,Chronic viral hepatitis B without delta-agent,Chronic viral hepatitis B without delta-agent,09/11/2025
B1810,Chronic viral hepatitis B without delta-agent: immune-tolerant phase,Chronic viral hepatitis B without delta-agent,09/11/2025
B1819,Chronic viral hepatitis B without delta-agent: other and unspecified phase,Chronic viral hepatitis B without delta-agent,09/11/2025
B182,Chronic viral hepatitis C,Chronic viral hepatitis C,09/11/2025
B188,Other chronic viral hepatitis,Other chronic viral hepatitis,09/11/2025
B189,"Chronic viral hepatitis, unspecified","Chronic viral hepatitis, unspecified",09/11/2025
B19,Unspecified viral hepatitis,N/A,09/11/2025
B190,Unspecified viral hepatitis with hepatic coma,Unspecified viral hepatitis with hepatic coma,09/11/2025
B199,Unspecified viral hepatitis without hepatic coma,Unspecified viral hepatitis without hepatic coma,09/11/2025
B20,Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases,N/A,09/11/2025
B200,HIV disease resulting in mycobacterial infection,HIV disease resulting in mycobacterial infection,09/11/2025
B201,HIV disease resulting in other bacterial infections,HIV disease resulting in other bacterial infections,09/11/2025
B202,HIV disease resulting in cytomegaloviral disease,HIV disease resulting in cytomegaloviral disease,09/11/2025
B203,HIV disease resulting in other viral infections,HIV disease resulting in other viral infections,09/11/2025
B204,HIV disease resulting in candidiasis,HIV disease resulting in candidiasis,09/11/2025
B205,HIV disease resulting in other mycoses,HIV disease resulting in other mycoses,09/11/2025
B206,HIV disease resulting in Pneumocystis jirovecii pneumonia,HIV disease resulting in Pneumocystis jirovecii pneumonia,09/11/2025
B207,HIV disease resulting in multiple infections,HIV disease resulting in multiple infections,09/11/2025
B208,HIV disease resulting in other infectious and parasitic diseases,HIV disease resulting in other infectious and parasitic diseases,09/11/2025
B209,HIV disease resulting in unspecified infectious or parasitic disease,HIV disease resulting in unspecified infectious or parasitic disease,09/11/2025
B21,Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms,N/A,09/11/2025
B210,HIV disease resulting in Kaposi sarcoma,HIV disease resulting in Kaposi sarcoma,09/11/2025
B211,HIV disease resulting in Burkitt lymphoma,HIV disease resulting in Burkitt lymphoma,09/11/2025
B212,HIV disease resulting in other types of non-Hodgkin lymphoma,HIV disease resulting in other types of non-Hodgkin lymphoma,09/11/2025
B213,"HIV disease resulting in other malignant neoplasms of lymphoid, haematopoietic and related tissue","HIV disease resulting in other malignant neoplasms of lymphoid, haematopoietic and related tissue",09/11/2025
B217,HIV disease resulting in multiple malignant neoplasms,HIV disease resulting in multiple malignant neoplasms,09/11/2025
B218,HIV disease resulting in other malignant neoplasms,HIV disease resulting in other malignant neoplasms,09/11/2025
B219,HIV disease resulting in unspecified malignant neoplasm,HIV disease resulting in unspecified malignant neoplasm,09/11/2025
